District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
GALENA CITY SCHOOL DISTRICT,Alaska,4334,0.02,0.05,70.24,0.915,0
JUNEAU BOROUGH SCHOOL DISTRICT,Alaska,4852,0.05,0.17,17.28,0.905,0
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,9013,0.03,0.18,15.6,0.999,0
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,2361,0.03,0.12,15.86,0.965,0
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,2425,0.14,0.1,15.2,0.967,0
LOWER KUSKOKWIM SCHOOL DISTRICT,Alaska,4267,0.58,0.12,14.74,1.076,0
LOWER YUKON SCHOOL DISTRICT,Alaska,2013,0.74,0.15,14.38,1.024,0
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Alaska,18926,0.03,0.15,18.68,1.167,0
NENANA CITY SCHOOL DISTRICT,Alaska,1111,0.04,0.1,51.94,0.928,0
NORTH SLOPE BOROUGH SCHOOL DISTRICT,Alaska,2144,0.19,0.11,13.2,0.973,0
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Alaska,2131,0.11,0.13,15.85,0.988,0
SITKA SCHOOL DISTRICT,Alaska,1285,0.04,0.13,12.54,0.951,0
YUKON-KOYUKUK SCHOOL DISTRICT,Alaska,1732,0,0.1,33.72,1.108,0
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,7788,0.01,0.1,23.25,0.838,1
ALHAMBRA ELEMENTARY DISTRICT,Arizona,13102,0.18,0.1,22.47,0.977,1
AMPHITHEATER UNIFIED DISTRICT,Arizona,13812,0.06,0.17,17.11,0.983,1
APACHE JUNCTION UNIFIED DISTRICT,Arizona,3745,0.03,0.18,19.1,0.84,1
AVONDALE ELEMENTARY DISTRICT,Arizona,5584,0.1,0.12,22.11,0.856,1
BALSZ ELEMENTARY DISTRICT,Arizona,2474,0.22,0.12,19,1.206,1
BENSON UNIFIED SCHOOL DISTRICT,Arizona,1238,0.01,0.15,18.48,0.915,1
BLUE RIDGE UNIFIED SCHOOL DISTRICT NO. 32,Arizona,2087,0.03,0.11,19.5,0.796,1
BUCKEYE ELEMENTARY DISTRICT,Arizona,4900,0.08,0.14,20.37,0.898,1
BUCKEYE UNION HIGH SCHOOL DISTRICT,Arizona,4097,0.02,0.12,22.19,0.978,1
BULLHEAD CITY SCHOOL DISTRICT,Arizona,2775,0.04,0.13,17.68,0.962,1
CAMP VERDE UNIFIED DISTRICT,Arizona,1518,0.04,0.14,17.35,0.971,1
CARTWRIGHT ELEMENTARY DISTRICT,Arizona,17940,0.2,0.1,20.76,1.027,1
CASA GRANDE ELEMENTARY DISTRICT,Arizona,6948,0.06,0.13,21.62,0.948,1
CASA GRANDE UNION HIGH SCHOOL DISTRICT,Arizona,3638,0.01,0.13,27.98,0.926,1
CATALINA FOOTHILLS UNIFIED DISTRICT,Arizona,5042,0.02,0.08,18.59,1.024,1
CAVE CREEK UNIFIED DISTRICT,Arizona,5463,0.01,0.14,22.08,1.06,1
CHANDLER UNIFIED DISTRICT #80,Arizona,44352,0.03,0.11,19.48,0.956,1
CHINLE UNIFIED DISTRICT,Arizona,3517,0.07,0.14,16.06,0.887,1
CHINO VALLEY UNIFIED DISTRICT,Arizona,2324,0.05,0.14,21.03,0.993,1
COLORADO RIVER UNION HIGH SCHOOL DISTRICT,Arizona,1914,0.01,0.11,22.88,0.806,1
COOLIDGE UNIFIED DISTRICT,Arizona,2110,0.04,0.11,19.43,0.962,1
COTTONWOOD-OAK CREEK ELEMENTARY DISTRICT,Arizona,2084,0.1,0.11,18.66,1.061,1
CRANE ELEMENTARY DISTRICT,Arizona,6247,0.12,0.11,22.58,0.972,1
CREIGHTON ELEMENTARY DISTRICT,Arizona,6395,0.24,0.1,18.23,1.465,1
DEER VALLEY UNIFIED DISTRICT,Arizona,33907,0.02,0.11,17.93,1.063,1
DOUGLAS UNIFIED DISTRICT,Arizona,3664,0.18,0.06,22.21,1.007,1
DYSART UNIFIED DISTRICT,Arizona,24672,0.03,0.14,21.37,0.93,1
FLAGSTAFF UNIFIED DISTRICT,Arizona,9650,0.05,0.15,16.85,0.959,1
FLORENCE UNIFIED SCHOOL DISTRICT,Arizona,9365,0.03,0.15,22.33,0.929,1
FLOWING WELLS UNIFIED DISTRICT,Arizona,5438,0.07,0.16,18.15,1.029,1
FOUNTAIN HILLS UNIFIED DISTRICT,Arizona,1494,0.01,0.11,18.49,1.107,1
FOWLER ELEMENTARY DISTRICT,Arizona,4714,0.18,0.11,20.04,1.017,1
GADSDEN ELEMENTARY DISTRICT,Arizona,5292,0.42,0.12,34.82,0.992,1
GANADO UNIFIED SCHOOL DISTRICT,Arizona,1389,0.07,0.07,14.86,0.967,1
GILBERT UNIFIED DISTRICT,Arizona,34889,0.01,0.13,18.7,0.854,1
GLENDALE ELEMENTARY DISTRICT,Arizona,13144,0.17,0.12,21.01,1.021,1
GLENDALE UNION HIGH SCHOOL DISTRICT,Arizona,15730,0.04,0.12,21.28,0.992,1
GLOBE UNIFIED DISTRICT,Arizona,1619,0.01,0.14,19.8,0.928,1
HIGLEY UNIFIED SCHOOL DISTRICT,Arizona,12157,0.01,0.13,19.85,0.838,1
HOLBROOK UNIFIED DISTRICT,Arizona,2037,0.04,0.11,15.22,0.886,1
HUMBOLDT UNIFIED DISTRICT,Arizona,5704,0.03,0.14,20.02,0.91,1
ISAAC ELEMENTARY DISTRICT,Arizona,7297,0.3,0.11,19.67,1.064,1
J O COMBS UNIFIED SCHOOL DISTRICT,Arizona,4563,0.02,0.18,22.8,0.928,1
KAYENTA UNIFIED SCHOOL DISTRICT # 27,Arizona,1693,0.08,0.12,14.62,0.782,1
KINGMAN UNIFIED SCHOOL DISTRICT,Arizona,6725,0.02,0.15,23.21,0.968,1
KYRENE ELEMENTARY DISTRICT,Arizona,16943,0.02,0.09,17.8,0.974,1
LAKE HAVASU UNIFIED DISTRICT,Arizona,5466,0.02,0.12,23.36,0.87,1
LAVEEN ELEMENTARY DISTRICT,Arizona,6854,0.07,0.14,52.72,1.026,1
LIBERTY ELEMENTARY DISTRICT,Arizona,3410,0.06,0.12,21.16,1.343,1
LITCHFIELD ELEMENTARY DISTRICT,Arizona,11411,0.03,0.1,23.08,1.024,1
LITTLETON ELEMENTARY DISTRICT,Arizona,5655,0.11,0.13,18.24,0.946,1
MADISON ELEMENTARY DISTRICT,Arizona,5876,0.04,0.09,20.73,0.818,1
MARANA UNIFIED DISTRICT,Arizona,12046,0.02,0.15,18.1,0.991,1
MARICOPA UNIFIED SCHOOL DISTRICT,Arizona,6646,0.03,0.15,23.71,0.903,1
MESA UNIFIED DISTRICT,Arizona,63444,0.06,0.15,19.07,1.005,1
MIAMI UNIFIED DISTRICT,Arizona,1178,0.03,0.12,19.8,0.939,1
MINGUS UNION HIGH SCHOOL DISTRICT,Arizona,1140,0.02,0.1,23.6,0.932,1
MOHAVE VALLEY ELEMENTARY DISTRICT,Arizona,1125,0.02,0.13,21.23,0.974,1
MORENCI UNIFIED DISTRICT,Arizona,1388,0.01,0.09,17.68,0.987,1
MURPHY ELEMENTARY DISTRICT,Arizona,1646,0.3,0.11,24.21,1.106,1
NADABURG UNIFIED SCHOOL DISTRICT,Arizona,1165,0.03,0.12,23.43,1.338,1
NOGALES UNIFIED DISTRICT,Arizona,5749,0.2,0.09,20.46,0.977,1
OSBORN ELEMENTARY DISTRICT,Arizona,2981,0.12,0.17,19.41,0.892,1
PAGE UNIFIED DISTRICT,Arizona,2717,0.04,0.16,18.51,0.894,1
PALOMINAS ELEMENTARY DISTRICT,Arizona,1402,0.02,0.15,22.8,1.106,1
PARADISE VALLEY UNIFIED DISTRICT,Arizona,31905,0.06,0.13,17.63,0.981,1
PARKER UNIFIED SCHOOL DISTRICT,Arizona,1956,0.04,0.15,19.56,0.888,1
PAYSON UNIFIED DISTRICT,Arizona,2329,0.01,0.16,18.9,0.867,1
PENDERGAST ELEMENTARY DISTRICT,Arizona,10139,0.11,0.11,21.28,1.075,1
PEORIA UNIFIED SCHOOL DISTRICT,Arizona,36552,0.03,0.14,18.89,0.988,1
PHOENIX ELEMENTARY DISTRICT,Arizona,6645,0.18,0.12,18.67,1.039,1
PHOENIX UNION HIGH SCHOOL DISTRICT,Arizona,27423,0.06,0.11,18.48,1.022,1
PINON UNIFIED DISTRICT,Arizona,1131,0.09,0.11,14.5,1.037,1
PRESCOTT UNIFIED DISTRICT,Arizona,3940,0.01,0.12,19.2,0.976,1
QUEEN CREEK UNIFIED DISTRICT,Arizona,6599,0.01,0.13,21.9,1.16,1
ROOSEVELT ELEMENTARY DISTRICT,Arizona,9335,0.17,0.13,19.36,0.86,1
ROUND VALLEY UNIFIED DISTRICT,Arizona,1287,0.04,0.16,19.75,1.082,1
SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT,Arizona,1551,0.06,0.16,20.31,0.99,1
SAFFORD UNIFIED DISTRICT,Arizona,3052,0,0.13,18.44,0.998,1
SAHUARITA UNIFIED DISTRICT,Arizona,6133,0.03,0.12,19.24,0.919,1
SAN CARLOS UNIFIED DISTRICT,Arizona,1650,0.03,0.14,16.02,0.945,1
SANTA CRUZ VALLEY UNIFIED DISTRICT,Arizona,3392,0.15,0.1,20.62,1.008,1
SCOTTSDALE UNIFIED DISTRICT,Arizona,23405,0.03,0.1,17.96,0.869,1
SEDONA-OAK CREEK JUSD #9,Arizona,1058,0.09,0.1,18.42,0.785,1
SHOW LOW UNIFIED DISTRICT,Arizona,2420,0.02,0.14,19.04,0.904,1
SIERRA VISTA UNIFIED DISTRICT,Arizona,5560,0.02,0.13,19.07,0.994,1
SNOWFLAKE UNIFIED DISTRICT,Arizona,2547,0.01,0.14,23.32,0.938,1
SOMERTON ELEMENTARY DISTRICT,Arizona,2949,0.26,0.12,21.46,1.002,1
SUNNYSIDE UNIFIED DISTRICT,Arizona,16168,0.12,0.13,21.08,1.013,1
TANQUE VERDE UNIFIED DISTRICT,Arizona,2104,0,0.14,17.29,0.953,1
TEMPE SCHOOL DISTRICT,Arizona,11692,0.11,0.13,16.75,0.869,1
TEMPE UNION HIGH SCHOOL DISTRICT,Arizona,13653,0.01,0.08,21.65,0.906,1
THATCHER UNIFIED DISTRICT,Arizona,1769,0,0.16,19.16,1.181,1
TOLLESON ELEMENTARY DISTRICT,Arizona,3083,0.14,0.11,19.76,0.962,1
TOLLESON UNION HIGH SCHOOL DISTRICT,Arizona,11066,0.02,0.11,22.8,0.741,1
TOLTEC SCHOOL DISTRICT,Arizona,1018,0.07,0.15,19.58,0.98,1
TUCSON UNIFIED DISTRICT,Arizona,47366,0.07,0.15,17.93,0.861,1
UNION ELEMENTARY DISTRICT,Arizona,1962,0.19,0.13,20.87,1.007,1
VAIL UNIFIED DISTRICT,Arizona,12848,0.01,0.11,18.46,0.935,1
WASHINGTON ELEMENTARY SCHOOL DISTRICT,Arizona,23526,0.13,0.16,18.47,0.908,1
WHITERIVER UNIFIED DISTRICT,Arizona,2266,0.03,0.15,17.09,0.906,1
WICKENBURG UNIFIED DISTRICT,Arizona,1156,0.06,0.12,14.97,0.862,1
WILLCOX UNIFIED DISTRICT,Arizona,1145,0.13,0.13,14.04,1.286,1
WILSON ELEMENTARY DISTRICT,Arizona,1194,0.23,0.07,17.88,1.087,1
WINDOW ROCK UNIFIED DISTRICT,Arizona,1873,0.07,0.12,13.67,0.858,1
WINSLOW UNIFIED DISTRICT,Arizona,2148,0.02,0.13,18.13,0.979,1
YUMA ELEMENTARY DISTRICT,Arizona,8575,0.13,0.12,21.07,1.045,1
YUMA UNION HIGH SCHOOL DISTRICT,Arizona,11055,0.13,0.09,25.93,0.853,1
ALMA SCHOOL DISTRICT,Arkansas,3152,0,0.13,16.2,0.951,0
ARKADELPHIA SCHOOL DISTRICT,Arkansas,1856,0.01,0.13,12.37,0.967,0
ASHDOWN SCHOOL DISTRICT,Arkansas,1419,0.01,0.12,12.59,0.994,0
ATKINS SCHOOL DISTRICT,Arkansas,1034,0.01,0.17,11.83,1.017,0
BALD KNOB SCHOOL DISTRICT,Arkansas,1270,0.01,0.12,13.94,0.969,0
BATESVILLE SCHOOL DISTRICT,Arkansas,3193,0.14,0.19,13.67,1.005,0
BAUXITE SCHOOL DISTRICT,Arkansas,1673,0.01,0.09,15.85,1.103,0
BEEBE SCHOOL DISTRICT,Arkansas,3369,0.01,0.14,14.85,0.994,0
BENTON SCHOOL DISTRICT,Arkansas,5202,0.04,0.1,16.79,0.914,0
BENTONVILLE SCHOOL DISTRICT,Arkansas,16609,0.04,0.1,14.49,1.145,0
BERGMAN SCHOOL DISTRICT,Arkansas,1167,0,0.11,13.89,0.955,0
BERRYVILLE SCHOOL DISTRICT,Arkansas,1987,0.23,0.14,13.29,0.949,0
BISMARCK SCHOOL DISTRICT,Arkansas,1023,0.02,0.12,13.83,0.978,0
BLYTHEVILLE SCHOOL DISTRICT,Arkansas,2151,0.02,0.13,10.28,0.968,0
BOONEVILLE SCHOOL DISTRICT,Arkansas,1253,0.01,0.13,12.67,0.945,0
BROOKLAND SCHOOL DISTRICT,Arkansas,2482,0.01,0.11,15.17,1.209,0
BRYANT SCHOOL DISTRICT,Arkansas,9253,0.06,0.13,16.24,0.973,0
CABOT SCHOOL DISTRICT,Arkansas,10625,0.02,0.12,15.98,1.004,0
CAMDEN FAIRVIEW SCHOOL DIST.,Arkansas,2586,0,0.11,13.72,0.956,0
CAVE CITY SCHOOL DISTRICT,Arkansas,1293,0,0.13,11.83,0.923,0
CLARKSVILLE SCHOOL DISTRICT,Arkansas,2610,0.27,0.11,15.15,0.99,0
CLINTON SCHOOL DISTRICT,Arkansas,1387,0.02,0.15,12.36,0.961,0
CONWAY SCHOOL DISTRICT,Arkansas,10198,0.05,0.11,15.74,0.987,0
COSSATOT RIVER SCHOOL DISTRICT,Arkansas,1022,0.24,0.14,11.47,0.877,0
CROSSETT SCHOOL DISTRICT,Arkansas,1823,0.02,0.09,12.95,0.908,0
DARDANELLE SCHOOL DISTRICT,Arkansas,2104,0.24,0.13,14.22,0.984,0
DEQUEEN SCHOOL DISTRICT,Arkansas,2386,0.51,0.08,14.3,0.968,0
DEWITT SCHOOL DISTRICT,Arkansas,1319,0.01,0.13,11.4,0.967,0
DOVER SCHOOL DISTRICT,Arkansas,1423,0.01,0.13,13.64,0.947,0
DREW CENTRAL SCHOOL DISTRICT,Arkansas,1078,0.05,0.13,13.88,0.915,0
DUMAS SCHOOL DISTRICT,Arkansas,1359,0.09,0.11,11.31,0.934,0
EL DORADO SCHOOL DISTRICT,Arkansas,4421,0.05,0.09,13.23,0.935,0
ELKINS SCHOOL DISTRICT,Arkansas,1210,0.02,0.09,15.16,1.015,0
ESTEM HIGH CHARTER,Arkansas,1462,0.01,0.08,15.4,1.014,0
FARMINGTON SCHOOL DISTRICT,Arkansas,2503,0.04,0.11,15,1.142,0
FAYETTEVILLE SCHOOL DISTRICT,Arkansas,9864,0.1,0.13,15.39,0.957,0
FORREST CITY SCHOOL DISTRICT,Arkansas,2594,0.02,0.13,15.44,0.974,0
FORT SMITH SCHOOL DISTRICT,Arkansas,14888,0.27,0.14,14.67,1.027,0
FOUNTAIN LAKE SCHOOL DISTRICT,Arkansas,1445,0.03,0.11,12.76,0.989,0
GENTRY SCHOOL DISTRICT,Arkansas,1407,0.11,0.12,11.52,0.963,0
GOSNELL SCHOOL DISTRICT,Arkansas,1331,0.01,0.13,12.51,1.025,0
GRAVETTE SCHOOL DISTRICT,Arkansas,1911,0.04,0.14,15.18,0.907,0
GREEN FOREST SCHOOL DISTRICT,Arkansas,1312,0.36,0.11,13.06,0.989,0
GREENBRIER SCHOOL DISTRICT,Arkansas,3560,0.01,0.1,16.47,0.992,0
GREENE CO. TECH SCHOOL DIST.,Arkansas,3828,0.01,0.17,14.3,0.988,0
GREENWOOD SCHOOL DISTRICT,Arkansas,3769,0.01,0.13,16.05,0.989,0
HAMBURG SCHOOL DISTRICT,Arkansas,1998,0.1,0.1,13.8,1.036,0
HARRISBURG SCHOOL DISTRICT,Arkansas,1211,0.01,0.17,12.18,0.964,0
HARRISON SCHOOL DISTRICT,Arkansas,2635,0,0.11,14.4,0.973,0
HEBER SPRINGS SCHOOL DISTRICT,Arkansas,1740,0.01,0.15,13.55,1.398,0
HIGHLAND SCHOOL DISTRICT,Arkansas,1583,0,0.09,12.25,0.987,0
HOPE SCHOOL DISTRICT,Arkansas,2490,0.23,0.11,14.09,0.974,0
HOT SPRINGS SCHOOL DISTRICT,Arkansas,3789,0.12,0.15,13.22,1.023,0
HUNTSVILLE SCHOOL DISTRICT,Arkansas,2419,0.07,0.12,14.36,0.99,0
JONESBORO SCHOOL DISTRICT,Arkansas,6276,0.05,0.13,16.09,0.924,0
KIPP DELTA PUBLIC SCHOOLS,Arkansas,1440,0,0.09,13.25,1.044,0
LAKE HAMILTON SCHOOL DISTRICT,Arkansas,4372,0.06,0.11,16.18,1.314,0
LAKESIDE SCHOOL DISTRICT,Arkansas,3558,0.05,0.11,16.35,1.004,0
LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),Arkansas,1086,0.09,0.11,10.61,0.963,0
LAMAR SCHOOL DISTRICT,Arkansas,1374,0.02,0.13,14.77,0.896,0
LINCOLN SCHOOL DISTRICT,Arkansas,1245,0.08,0.15,13.26,0.886,0
LISA ACADEMY CHARTER,Arkansas,2041,0.06,0.07,14.57,0.896,0
LITTLE ROCK SCHOOL DISTRICT,Arkansas,24383,0.12,0.13,12.78,1.004,0
LONOKE SCHOOL DISTRICT,Arkansas,1812,0.07,0.11,13.6,0.962,0
MAGNOLIA SCHOOL DISTRICT,Arkansas,2874,0.02,0.11,12.57,0.907,0
MALVERN SCHOOL DISTRICT,Arkansas,2059,0.04,0.16,12.84,1.144,0
MANILA SCHOOL DISTRICT,Arkansas,1115,0.01,0.12,12.79,0.96,0
